,bookNum,hymnNum,verseNum,serNum,deity,poet,meter
38,1,4,9,4,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
39,1,4,10,4,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
40,1,5,1,5,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
41,1,5,2,5,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
42,1,5,3,5,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
43,1,5,4,5,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
44,1,5,5,5,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
45,1,5,6,5,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
46,1,5,7,5,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
47,1,5,8,5,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
48,1,5,9,5,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
49,1,5,10,5,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
50,1,6,1,6,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
51,1,6,2,6,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
52,1,6,3,6,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
53,1,6,4,6,Maruts,Madhuchandas Vaiśvāmitra,gāyatrī
54,1,6,5,6,Indra and Maruts,Madhuchandas Vaiśvāmitra,gāyatrī
55,1,6,6,6,Maruts,Madhuchandas Vaiśvāmitra,gāyatrī
56,1,6,7,6,Indra and Maruts,Madhuchandas Vaiśvāmitra,gāyatrī
57,1,6,8,6,Maruts,Madhuchandas Vaiśvāmitra,gāyatrī
58,1,6,9,6,Maruts,Madhuchandas Vaiśvāmitra,gāyatrī
59,1,6,10,6,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
60,1,7,1,7,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
61,1,7,2,7,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
62,1,7,3,7,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
63,1,7,4,7,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
64,1,7,5,7,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
65,1,7,6,7,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
66,1,7,7,7,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
67,1,7,8,7,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
68,1,7,9,7,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
69,1,7,10,7,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
70,1,8,1,8,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
71,1,8,2,8,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
72,1,8,3,8,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
73,1,8,4,8,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
74,1,8,5,8,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
75,1,8,6,8,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
76,1,8,7,8,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
77,1,8,8,8,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
78,1,8,9,8,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
79,1,8,10,8,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
80,1,9,1,9,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
81,1,9,2,9,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
82,1,9,3,9,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
83,1,9,4,9,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
84,1,9,5,9,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
85,1,9,6,9,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
86,1,9,7,9,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
87,1,9,8,9,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
88,1,9,9,9,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
89,1,9,10,9,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
90,1,10,1,10,Indra,Madhuchandas Vaiśvāmitra,anuṣṭubh
91,1,10,2,10,Indra,Madhuchandas Vaiśvāmitra,anuṣṭubh
92,1,10,3,10,Indra,Madhuchandas Vaiśvāmitra,anuṣṭubh
93,1,10,4,10,Indra,Madhuchandas Vaiśvāmitra,anuṣṭubh
94,1,10,5,10,Indra,Madhuchandas Vaiśvāmitra,anuṣṭubh
95,1,10,6,10,Indra,Madhuchandas Vaiśvāmitra,anuṣṭubh
96,1,10,7,10,Indra,Madhuchandas Vaiśvāmitra,anuṣṭubh
97,1,10,8,10,Indra,Madhuchandas Vaiśvāmitra,anuṣṭubh
98,1,10,9,10,Indra,Madhuchandas Vaiśvāmitra,anuṣṭubh
99,1,10,10,10,Indra,Madhuchandas Vaiśvāmitra,anuṣṭubh
100,1,10,11,10,Indra,Madhuchandas Vaiśvāmitra,anuṣṭubh
101,1,10,12,10,Indra,Madhuchandas Vaiśvāmitra,anuṣṭubh
102,1,11,1,11,Indra,Jetar Mādhuchandasa,anuṣṭubh
103,1,11,2,11,Indra,Jetar Mādhuchandasa,anuṣṭubh
104,1,11,3,11,Indra,Jetar Mādhuchandasa,anuṣṭubh
105,1,11,4,11,Indra,Jetar Mādhuchandasa,anuṣṭubh
106,1,11,5,11,Indra,Jetar Mādhuchandasa,anuṣṭubh
107,1,11,6,11,Indra,Jetar Mādhuchandasa,anuṣṭubh
108,1,11,7,11,Indra,Jetar Mādhuchandasa,anuṣṭubh
109,1,11,8,11,Indra,Jetar Mādhuchandasa,anuṣṭubh
110,1,12,1,12,Agni,Medhātithi Kāṇva,gāyatrī
111,1,12,2,12,Agni,Medhātithi Kāṇva,gāyatrī
112,1,12,3,12,Agni,Medhātithi Kāṇva,gāyatrī
113,1,12,4,12,Agni,Medhātithi Kāṇva,gāyatrī
114,1,12,5,12,Agni,Medhātithi Kāṇva,gāyatrī
115,1,12,6,12,Agni,Medhātithi Kāṇva,gāyatrī
116,1,12,7,12,Agni,Medhātithi Kāṇva,gāyatrī
117,1,12,8,12,Agni,Medhātithi Kāṇva,gāyatrī
118,1,12,9,12,Agni,Medhātithi Kāṇva,gāyatrī
119,1,12,10,12,Agni,Medhātithi Kāṇva,gāyatrī
120,1,12,11,12,Agni,Medhātithi Kāṇva,gāyatrī
121,1,12,12,12,Agni,Medhātithi Kāṇva,gāyatrī
122,1,13,1,13,Āprı̄,Medhātithi Kāṇva,gāyatrī
123,1,13,2,13,Āprı̄,Medhātithi Kāṇva,gāyatrī
124,1,13,3,13,Āprı̄,Medhātithi Kāṇva,gāyatrī
125,1,13,4,13,Āprı̄,Medhātithi Kāṇva,gāyatrī
126,1,13,5,13,Āprı̄,Medhātithi Kāṇva,gāyatrī
127,1,13,6,13,Āprı̄,Medhātithi Kāṇva,gāyatrī
128,1,13,7,13,Āprı̄,Medhātithi Kāṇva,gāyatrī
129,1,13,8,13,Āprı̄,Medhātithi Kāṇva,gāyatrī
130,1,13,9,13,Āprı̄,Medhātithi Kāṇva,gāyatrī
131,1,13,10,13,Āprı̄,Medhātithi Kāṇva,gāyatrī
132,1,13,11,13,Āprı̄,Medhātithi Kāṇva,gāyatrī
133,1,13,12,13,Āprı̄,Medhātithi Kāṇva,gāyatrī
134,1,14,1,14,All Gods,Medhātithi Kāṇva,gāyatrī
135,1,14,2,14,All Gods,Medhātithi Kāṇva,gāyatrī
136,1,14,3,14,All Gods,Medhātithi Kāṇva,gāyatrī
137,1,14,4,14,All Gods,Medhātithi Kāṇva,gāyatrī
138,1,14,5,14,All Gods,Medhātithi Kāṇva,gāyatrī
139,1,14,6,14,All Gods,Medhātithi Kāṇva,gāyatrī
140,1,14,7,14,All Gods,Medhātithi Kāṇva,gāyatrī
141,1,14,8,14,All Gods,Medhātithi Kāṇva,gāyatrī
142,1,14,9,14,All Gods,Medhātithi Kāṇva,gāyatrī
143,1,14,10,14,All Gods,Medhātithi Kāṇva,gāyatrī
144,1,14,11,14,All Gods,Medhātithi Kāṇva,gāyatrī
145,1,14,12,14,All Gods,Medhātithi Kāṇva,gāyatrī
146,1,15,1,15,R̥tudevatāḥ (Sequential Deities),Medhātithi Kāṇva,gāyatrī
147,1,15,2,15,R̥tudevatāḥ (Sequential Deities),Medhātithi Kāṇva,gāyatrī
148,1,15,3,15,R̥tudevatāḥ (Sequential Deities),Medhātithi Kāṇva,gāyatrī
149,1,15,4,15,R̥tudevatāḥ (Sequential Deities),Medhātithi Kāṇva,gāyatrī
150,1,15,5,15,R̥tudevatāḥ (Sequential Deities),Medhātithi Kāṇva,gāyatrī
151,1,15,6,15,R̥tudevatāḥ (Sequential Deities),Medhātithi Kāṇva,gāyatrī
152,1,15,7,15,R̥tudevatāḥ (Sequential Deities),Medhātithi Kāṇva,gāyatrī
153,1,15,8,15,R̥tudevatāḥ (Sequential Deities),Medhātithi Kāṇva,gāyatrī
154,1,15,9,15,R̥tudevatāḥ (Sequential Deities),Medhātithi Kāṇva,gāyatrī
155,1,15,10,15,R̥tudevatāḥ (Sequential Deities),Medhātithi Kāṇva,gāyatrī
156,1,15,11,15,R̥tudevatāḥ (Sequential Deities),Medhātithi Kāṇva,gāyatrī
157,1,15,12,15,R̥tudevatāḥ (Sequential Deities),Medhātithi Kāṇva,gāyatrī
158,1,16,1,16,Indra,Medhātithi Kāṇva,gāyatrī
159,1,16,2,16,Indra,Medhātithi Kāṇva,gāyatrī
160,1,16,3,16,Indra,Medhātithi Kāṇva,gāyatrī
161,1,16,4,16,Indra,Medhātithi Kāṇva,gāyatrī
162,1,16,5,16,Indra,Medhātithi Kāṇva,gāyatrī
163,1,16,6,16,Indra,Medhātithi Kāṇva,gāyatrī
164,1,16,7,16,Indra,Medhātithi Kāṇva,gāyatrī
165,1,16,8,16,Indra,Medhātithi Kāṇva,gāyatrī
166,1,16,9,16,Indra,Medhātithi Kāṇva,gāyatrī
167,1,17,1,17,Indra and Varuṇa,Medhātithi Kāṇva,gāyatrī
168,1,17,2,17,Indra and Varuṇa,Medhātithi Kāṇva,gāyatrī
169,1,17,3,17,Indra and Varuṇa,Medhātithi Kāṇva,gāyatrī
170,1,17,4,17,Indra and Varuṇa,Medhātithi Kāṇva,gāyatrī
171,1,17,5,17,Indra and Varuṇa,Medhātithi Kāṇva,gāyatrī
172,1,17,6,17,Indra and Varuṇa,Medhātithi Kāṇva,gāyatrī
173,1,17,7,17,Indra and Varuṇa,Medhātithi Kāṇva,gāyatrī
174,1,17,8,17,Indra and Varuṇa,Medhātithi Kāṇva,gāyatrī
175,1,17,9,17,Indra and Varuṇa,Medhātithi Kāṇva,gāyatrī
176,1,18,1,18,Brahmaṇaspati [Lord of the Sacred Formulation],Medhātithi Kāṇva,gāyatrī
177,1,18,2,18,Brahmaṇaspati [Lord of the Sacred Formulation],Medhātithi Kāṇva,gāyatrī
178,1,18,3,18,Brahmaṇaspati [Lord of the Sacred Formulation],Medhātithi Kāṇva,gāyatrī
179,1,18,4,18,"Brahmaṇaspati, Indra, and Soma",Medhātithi Kāṇva,gāyatrī
180,1,18,5,18,the Same with Dakṣiṇā,Medhātithi Kāṇva,gāyatrī
181,1,18,6,18,Sadasaspati [Lord of the Seat],Medhātithi Kāṇva,gāyatrī
182,1,18,7,18,Sadasaspati [Lord of the Seat],Medhātithi Kāṇva,gāyatrī
183,1,18,8,18,Sadasaspati [Lord of the Seat],Medhātithi Kāṇva,gāyatrī
184,1,18,9,18,Sadasaspati or Narāśaṃsa,Medhātithi Kāṇva,gāyatrī
185,1,19,1,19,Agni and the Maruts,Medhātithi Kāṇva,gāyatrī
186,1,19,2,19,Agni and the Maruts,Medhātithi Kāṇva,gāyatrī
187,1,19,3,19,Agni and the Maruts,Medhātithi Kāṇva,gāyatrī
188,1,19,4,19,Agni and the Maruts,Medhātithi Kāṇva,gāyatrī
189,1,19,5,19,Agni and the Maruts,Medhātithi Kāṇva,gāyatrī
190,1,19,6,19,Agni and the Maruts,Medhātithi Kāṇva,gāyatrī
191,1,19,7,19,Agni and the Maruts,Medhātithi Kāṇva,gāyatrī
192,1,19,8,19,Agni and the Maruts,Medhātithi Kāṇva,gāyatrī
193,1,19,9,19,Agni and the Maruts,Medhātithi Kāṇva,gāyatrī
194,1,20,1,20,R̥bhus,Medhātithi Kāṇva,gāyatrī
195,1,20,2,20,R̥bhus,Medhātithi Kāṇva,gāyatrī
196,1,20,3,20,R̥bhus,Medhātithi Kāṇva,gāyatrī
197,1,20,4,20,R̥bhus,Medhātithi Kāṇva,gāyatrī
198,1,20,5,20,R̥bhus,Medhātithi Kāṇva,gāyatrī
199,1,20,6,20,R̥bhus,Medhātithi Kāṇva,gāyatrī
200,1,20,7,20,R̥bhus,Medhātithi Kāṇva,gāyatrī
201,1,20,8,20,R̥bhus,Medhātithi Kāṇva,gāyatrī
202,1,21,1,21,Indra and Agni,Medhātithi Kāṇva,gāyatrī
203,1,21,2,21,Indra and Agni,Medhātithi Kāṇva,gāyatrī
204,1,21,3,21,Indra and Agni,Medhātithi Kāṇva,gāyatrī
205,1,21,4,21,Indra and Agni,Medhātithi Kāṇva,gāyatrī
206,1,21,5,21,Indra and Agni,Medhātithi Kāṇva,gāyatrī
207,1,21,6,21,Indra and Agni,Medhātithi Kāṇva,gāyatrī
208,1,22,1,22,Aśvins,Medhātithi Kāṇva,gāyatrī
209,1,22,2,22,Aśvins,Medhātithi Kāṇva,gāyatrī
210,1,22,3,22,Aśvins,Medhātithi Kāṇva,gāyatrī
211,1,22,4,22,Aśvins,Medhātithi Kāṇva,gāyatrī
212,1,22,5,22,Savitar,Medhātithi Kāṇva,gāyatrī
213,1,22,6,22,Savitar,Medhātithi Kāṇva,gāyatrī
214,1,22,7,22,Savitar,Medhātithi Kāṇva,gāyatrī
215,1,22,8,22,Savitar,Medhātithi Kāṇva,gāyatrī
216,1,22,9,22,Agni,Medhātithi Kāṇva,gāyatrī
217,1,22,10,22,Agni,Medhātithi Kāṇva,gāyatrī
218,1,22,11,22,Gods,Medhātithi Kāṇva,gāyatrī
219,1,22,12,22,̄ Agnāyı̄,Medhātithi Kāṇva,gāyatrī
220,1,22,13,22,Heaven and Earth,Medhātithi Kāṇva,gāyatrī
221,1,22,14,22,Heaven and Earth,Medhātithi Kāṇva,gāyatrī
222,1,22,15,22,Earth,Medhātithi Kāṇva,gāyatrī
223,1,22,16,22,Viṣṇu or Gods,Medhātithi Kāṇva,gāyatrī
224,1,22,17,22,Viṣṇu,Medhātithi Kāṇva,gāyatrī
225,1,22,18,22,Viṣṇu,Medhātithi Kāṇva,gāyatrī
226,1,22,19,22,Viṣṇu,Medhātithi Kāṇva,gāyatrī
227,1,22,20,22,Viṣṇu,Medhātithi Kāṇva,gāyatrī
228,1,22,21,22,Viṣṇu,Medhātithi Kāṇva,gāyatrī
229,1,23,1,23,Vāyu,Medhātithi Kāṇva,gāyatrī
230,1,23,2,23,Indra and Vāyu,Medhātithi Kāṇva,gāyatrī
231,1,23,3,23,Indra and Vāyu,Medhātithi Kāṇva,gāyatrī
232,1,23,4,23,Mitra and Varuṇa,Medhātithi Kāṇva,gāyatrī
233,1,23,5,23,Mitra and Varuṇa,Medhātithi Kāṇva,gāyatrī
234,1,23,6,23,Mitra and Varuṇa,Medhātithi Kāṇva,gāyatrī
235,1,23,7,23,Indra Marutvant,Medhātithi Kāṇva,gāyatrī
236,1,23,8,23,Indra Marutvant,Medhātithi Kāṇva,gāyatrī
237,1,23,9,23,Indra Marutvant,Medhātithi Kāṇva,gāyatrī
238,1,23,10,23,All Gods,Medhātithi Kāṇva,gāyatrī
239,1,23,11,23,All Gods,Medhātithi Kāṇva,gāyatrī
240,1,23,12,23,All Gods,Medhātithi Kāṇva,gāyatrī
241,1,23,13,23,Pūṣan,Medhātithi Kāṇva,gāyatrī
242,1,23,14,23,Pūṣan,Medhātithi Kāṇva,gāyatrī
243,1,23,15,23,Pūṣan,Medhātithi Kāṇva,gāyatrī
244,1,23,16,23,Waters,Medhātithi Kāṇva,gāyatrī
245,1,23,17,23,Waters,Medhātithi Kāṇva,gāyatrī
246,1,23,18,23,Waters,Medhātithi Kāṇva,gāyatrī
247,1,23,19,23,Waters,Medhātithi Kāṇva,puraüṣṇih
248,1,23,20,23,Waters,Medhātithi Kāṇva,anuṣṭubh
249,1,23,21,23,Waters,Medhātithi Kāṇva,pratiṣṭhā
250,1,23,22,23,Waters,Medhātithi Kāṇva,anuṣṭubh
251,1,23,23,23,Waters(23)Agni(23),Medhātithi Kāṇva,anuṣṭubh
252,1,23,24,23,Agni,Medhātithi Kāṇva,anuṣṭubh
253,1,24,1,24,"Agni, Savitar, and Varuṇa",Śunaḥśepa Ājīgarti,triṣṭubh
254,1,24,2,24,"Agni, Savitar, and Varuṇa",Śunaḥśepa Ājīgarti,triṣṭubh
255,1,24,3,24,"Agni, Savitar, and Varuṇa",Śunaḥśepa Ājīgarti,gāyatrī
256,1,24,4,24,"Agni, Savitar, and Varuṇa",Śunaḥśepa Ājīgarti,gāyatrī
257,1,24,5,24,"Agni, Savitar, and Varuṇa",Śunaḥśepa Ājīgarti,gāyatrī
258,1,24,6,24,"Agni, Savitar, and Varuṇa",Śunaḥśepa Ājīgarti,triṣṭubh
259,1,24,7,24,"Agni, Savitar, and Varuṇa",Śunaḥśepa Ājīgarti,triṣṭubh
260,1,24,8,24,"Agni, Savitar, and Varuṇa",Śunaḥśepa Ājīgarti,triṣṭubh
261,1,24,9,24,"Agni, Savitar, and Varuṇa",Śunaḥśepa Ājīgarti,triṣṭubh
262,1,24,10,24,"Agni, Savitar, and Varuṇa",Śunaḥśepa Ājīgarti,triṣṭubh
263,1,24,11,24,"Agni, Savitar, and Varuṇa",Śunaḥśepa Ājīgarti,triṣṭubh
264,1,24,12,24,"Agni, Savitar, and Varuṇa",Śunaḥśepa Ājīgarti,triṣṭubh
265,1,24,13,24,"Agni, Savitar, and Varuṇa",Śunaḥśepa Ājīgarti,triṣṭubh
266,1,24,14,24,"Agni, Savitar, and Varuṇa",Śunaḥśepa Ājīgarti,triṣṭubh
267,1,24,15,24,"Agni, Savitar, and Varuṇa",Śunaḥśepa Ājīgarti,triṣṭubh
268,1,25,1,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
269,1,25,2,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
270,1,25,3,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
271,1,25,4,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
272,1,25,5,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
273,1,25,6,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
274,1,25,7,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
275,1,25,8,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
276,1,25,9,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
277,1,25,10,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
278,1,25,11,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
279,1,25,12,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
280,1,25,13,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
281,1,25,14,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
282,1,25,15,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
283,1,25,16,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
284,1,25,17,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
285,1,25,18,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
286,1,25,19,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
287,1,25,20,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
288,1,25,21,25,Varuṇa,Śunaḥśepa Ājīgarti,gāyatrī
289,1,26,1,26,Agni,Śunaḥśepa Ājīgarti,gāyatrī
290,1,26,2,26,Agni,Śunaḥśepa Ājīgarti,gāyatrī
291,1,26,3,26,Agni,Śunaḥśepa Ājīgarti,gāyatrī
292,1,26,4,26,Agni,Śunaḥśepa Ājīgarti,gāyatrī
293,1,26,5,26,Agni,Śunaḥśepa Ājīgarti,gāyatrī
294,1,26,6,26,Agni,Śunaḥśepa Ājīgarti,gāyatrī
295,1,26,7,26,Agni,Śunaḥśepa Ājīgarti,gāyatrī
296,1,26,8,26,Agni,Śunaḥśepa Ājīgarti,gāyatrī
297,1,26,9,26,Agni,Śunaḥśepa Ājīgarti,gāyatrī
298,1,26,10,26,Agni,Śunaḥśepa Ājīgarti,gāyatrī
299,1,27,1,27,Agni,Śunaḥśepa Ājīgarti,gāyatrī
300,1,27,2,27,Agni,Śunaḥśepa Ājīgarti,gāyatrī
301,1,27,3,27,Agni,Śunaḥśepa Ājīgarti,gāyatrī
302,1,27,4,27,Agni,Śunaḥśepa Ājīgarti,gāyatrī
303,1,27,5,27,Agni,Śunaḥśepa Ājīgarti,gāyatrī
304,1,27,6,27,Agni,Śunaḥśepa Ājīgarti,gāyatrī
305,1,27,7,27,Agni,Śunaḥśepa Ājīgarti,gāyatrī
306,1,27,8,27,Agni,Śunaḥśepa Ājīgarti,gāyatrī
307,1,27,9,27,Agni,Śunaḥśepa Ājīgarti,gāyatrī
308,1,27,10,27,Agni,Śunaḥśepa Ājīgarti,gāyatrī
309,1,27,11,27,Agni,Śunaḥśepa Ājīgarti,gāyatrī
310,1,27,12,27,Agni,Śunaḥśepa Ājīgarti,gāyatrī
311,1,27,13,27,Gods,Śunaḥśepa Ājīgarti,triṣṭubh
312,1,28,1,28,Indra,Śunaḥśepa Ājīgarti,triṣṭubh
313,1,28,2,28,Indra,Śunaḥśepa Ājīgarti,triṣṭubh
314,1,28,3,28,Indra,Śunaḥśepa Ājīgarti,triṣṭubh
315,1,28,4,28,Indra,Śunaḥśepa Ājīgarti,triṣṭubh
316,1,28,5,28,the Mortar,Śunaḥśepa Ājīgarti,triṣṭubh
317,1,28,6,28,the Mortar,Śunaḥśepa Ājīgarti,triṣṭubh
318,1,28,7,28,the Mortar and Pestle,Śunaḥśepa Ājīgarti,gāyatrī
319,1,28,8,28,the Mortar and Pestle,Śunaḥśepa Ājīgarti,gāyatrī
320,1,28,9,28,Prajāpati Hariścandra or the Soma-Pressing Hide,Śunaḥśepa Ājīgarti,gāyatrī
321,1,29,1,29,Indra,Śunaḥśepa Ājīgarti,paṅkti
322,1,29,2,29,Indra,Śunaḥśepa Ājīgarti,paṅkti
323,1,29,3,29,Indra,Śunaḥśepa Ājīgarti,paṅkti
324,1,29,4,29,Indra,Śunaḥśepa Ājīgarti,paṅkti
325,1,29,5,29,Indra,Śunaḥśepa Ājīgarti,paṅkti
326,1,29,6,29,Indra,Śunaḥśepa Ājīgarti,paṅkti
327,1,29,7,29,Indra,Śunaḥśepa Ājīgarti,paṅkti
328,1,30,1,30,Indra,Śunaḥśepa Ājīgarti,gāyatrī
329,1,30,2,30,Indra,Śunaḥśepa Ājīgarti,gāyatrī
330,1,30,3,30,Indra,Śunaḥśepa Ājīgarti,gāyatrī
331,1,30,4,30,Indra,Śunaḥśepa Ājīgarti,gāyatrī
332,1,30,5,30,Indra,Śunaḥśepa Ājīgarti,gāyatrī
333,1,30,6,30,Indra,Śunaḥśepa Ājīgarti,gāyatrī
334,1,30,7,30,Indra,Śunaḥśepa Ājīgarti,gāyatrī
335,1,30,8,30,Indra,Śunaḥśepa Ājīgarti,gāyatrī
336,1,30,9,30,Indra,Śunaḥśepa Ājīgarti,gāyatrī
337,1,30,10,30,Indra,Śunaḥśepa Ājīgarti,gāyatrī
338,1,30,11,30,Indra,Śunaḥśepa Ājīgarti,gāyatrī
339,1,30,12,30,Indra,Śunaḥśepa Ājīgarti,gāyatrī
340,1,30,13,30,Indra,Śunaḥśepa Ājīgarti,gāyatrī
341,1,30,14,30,Indra,Śunaḥśepa Ājīgarti,gāyatrī
342,1,30,15,30,Indra,Śunaḥśepa Ājīgarti,gāyatrī
343,1,30,16,30,Indra,Śunaḥśepa Ājīgarti,triṣṭubh
344,1,30,17,30,Aśvins,Śunaḥśepa Ājīgarti,gāyatrī
345,1,30,18,30,Aśvins,Śunaḥśepa Ājīgarti,gāyatrī
346,1,30,19,30,Aśvins,Śunaḥśepa Ājīgarti,gāyatrī
347,1,30,20,30,Dawn,Śunaḥśepa Ājīgarti,gāyatrī
348,1,30,21,30,Dawn,Śunaḥśepa Ājīgarti,gāyatrī
